unit_id,heading_id,level,order_idx,path,h1,h2,h3,h4,h5,h6,sentence_text,token_start,token_end
U000012,H000004,4,12,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri.",96,104
U000013,H000004,4,13,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva.",105,110
U000014,H000004,4,14,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi.",111,124
U000015,H000004,4,15,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’.",125,133
U000016,H000004,4,16,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Ganthārambhakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Ganthārambhakathā,,,"Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti.",134,143
U000017,H000005,4,1,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā.,145,153
U000018,H000005,4,2,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā.,154,161
U000019,H000005,4,3,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Suttato diyaḍḍhasuttasataṃ dve ca suttantā.,162,166
U000020,H000005,4,4,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Padato tevīsuttarapañcasatādhikāni asītipadasahassāni.,167,169
U000021,H000005,4,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,"Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti.",170,181
U000022,H000005,4,6,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni.,182,188
U000023,H000005,4,7,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro.,189,194
U000024,H000005,4,8,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi.,195,199
U000025,H000005,4,9,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti.,200,207
U000026,H000005,4,10,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,"Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti.",208,219
U000027,H000005,4,11,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ.",220,227
U000028,H000005,4,12,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi.,228,236
U000029,H000005,4,13,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā.,237,243
U000030,H000005,4,14,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > (Paṭhamo bhāgo) > Nidānakathā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,(Paṭhamo bhāgo),Nidānakathā,,,Tasmā sā tattha vitthāritanayeneva veditabbā.,244,248
U000031,H000007,4,1,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ.,253,259
U000032,H000007,4,2,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Tattha evanti nipātapadaṃ.,260,262
U000033,H000007,4,3,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Metiādīni nāmapadāni.,263,264
U000034,H000007,4,4,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo.",265,276
U000035,H000007,4,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo.,277,281
U000036,H000007,4,6,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato.,282,295
U000037,H000007,4,7,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese.",296,305
U000038,H000007,4,8,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane.",306,313
U000039,H000007,4,9,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe.,314,329
U000040,H000007,4,10,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,‘‘Evaṃ bhanteti kho te bhikkhū bhagavato paccassosu’’ntiādīsu (ma. ni. 1.1) vacanasampaṭiggahe.,330,340
U000041,H000007,4,11,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Evaṃ byākho ahaṃ, bhante, bhagavatā dhammaṃ desitaṃ ājānāmī’’tiādīsu (ma. ni. 1.398) ākāre.",341,352
U000042,H000007,4,12,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Ehi tvaṃ, māṇavaka, yena samaṇo ānando tenupasaṅkama, upasaṅkamitvā mama vacanena samaṇaṃ, ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ puccha – ‘subho māṇavo todeyyaputto, bhavantaṃ ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ pucchatī’ti, evañca vadehi sādhu kira bhavaṃ ānando yena subhassa māṇavassa todeyyaputtassa nivesanaṃ, tenupasaṅkamatu anukampaṃ upādāyā’’tiādīsu (dī. ni. 1.445) nidassane.",353,400
U000043,H000007,4,13,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Taṃ kiṃ maññatha, kālāmā, ime dhammā kusalā vā akusalā vāti? Akusalā, bhante.",401,412
U000044,H000007,4,14,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Sāvajjā vā anavajjā vāti? Sāvajjā, bhante.",413,418
U000045,H000007,4,15,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Viññugarahitā vā viññuppasatthā vāti? Viññugarahitā, bhante.",419,424
U000046,H000007,4,16,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Samattā samādinnā ahitāya dukkhāya saṃvattanti no vā, kathaṃ vo ettha hotīti? Samattā, bhante, samādinnā ahitāya dukkhāya saṃvattanti, evaṃ no ettha hotī’’tiādīsu (a. ni. 3.66) avadhāraṇe.",425,449
U000047,H000007,4,17,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Svāyamidha ākāranidassanāvadhāraṇesu daṭṭhabbo.,450,452
U000048,H000007,4,18,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Tattha ākāraṭṭhena evaṃsaddena etamatthaṃ dīpeti – nānānayanipuṇaṃ anekajjhāsayasamuṭṭhānaṃ atthabyañjanasampannaṃ vividhapāṭihāriyaṃ dhammatthadesanāpaṭivedhagambhīraṃ sabbasattānaṃ sakasakabhāsānurūpato sotapathamāgacchantaṃ tassa bhagavato vacanaṃ sabbappakārena ko samattho viññātuṃ, sabbathāmena pana sotukāmataṃ janetvāpi evaṃ me sutaṃ, mayāpi ekenākārena sutanti.",453,483
U000049,H000007,4,19,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Nidassanaṭṭhena ‘‘nāhaṃ sayambhū, na mayā idaṃ sacchikata’’nti attānaṃ parimocento evaṃ me sutaṃ, mayāpi evaṃ sutanti idāni vattabbaṃ sakalaṃ suttaṃ nidasseti.",484,503
U000050,H000007,4,20,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"Avadhāraṇaṭṭhena ‘‘etadaggaṃ, bhikkhave, mama sāvakānaṃ bhikkhūnaṃ bahussutānaṃ yadidaṃ ānando, gatimantānaṃ, satimantānaṃ, dhitimantānaṃ, upaṭṭhākānaṃ yadidaṃ ānando’’ti (a. ni. 1.219-223) evaṃ bhagavatā, ‘‘āyasmā ānando atthakusalo dhammakusalo byañjanakusalo niruttikusalo pubbāparakusalo’’ti (a. ni. 5.169) evaṃ dhammasenāpatinā ca pasatthabhāvānurūpaṃ attano dhāraṇabalaṃ dassento sattānaṃ sotukamyataṃ janeti ‘‘evaṃ me sutaṃ, tañca kho atthato vā byañjanato vā anūnamanadhikaṃ, evameva na aññathā daṭṭhabba’’nti.",504,557
U000051,H000007,4,21,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Me-saddo tīsu atthesu dissati.,558,561
U000052,H000007,4,22,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Tathā hissa ‘‘gāthābhigītaṃ me abhojaneyya’’ntiādīsu (su. ni. 81) mayāti attho.,562,571
U000053,H000007,4,23,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Sādhu me, bhante bhagavā, saṃkhittena dhammaṃ desetū’’tiādīsu (saṃ. ni. 4.88) mayhanti attho.",572,583
U000054,H000007,4,24,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Dhammadāyādā me, bhikkhave, bhavathā’’tiādīsu (ma. ni. 1.29) mamāti attho.",584,592
U000055,H000007,4,25,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Idha pana ‘‘mayā suta’’nti ca ‘‘mama suta’’nti ca atthadvaye yujjati.,593,602
U000056,H000007,4,26,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Sutanti ayaṃ suta-saddo saupasaggo ca anupasaggo ca gamana-vissuta-kilinna-upacitānuyoga-sotaviññeyya-sotadvārānusāraviññātādianekatthappabhedo.,603,610
U000057,H000007,4,27,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,Tathā hissa ‘‘senāya pasuto’’tiādīsu gacchantoti attho.,611,616
U000058,H000007,4,28,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,"‘‘Sutadhammassa passato’’tiādīsu (udā. 11) vissutadhammassāti attho, ‘‘avassutā avassutassāti’’ādīsu (pāci. 657) kilinnā kilinnassāti attho.",617,629
U000059,H000007,4,29,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,‘‘Tumhehi puññaṃ pasutaṃ anappaka’’ntiādīsu (khu. pā. 7.12) upacitanti attho.,630,638
U000060,H000007,4,30,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,‘‘Ye jhānapasutā dhīrā’’tiādīsu (dha. pa. 181) jhānānuyuttāti attho.,639,646
U000061,H000007,4,31,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,,,‘‘Diṭṭhaṃ sutaṃ muta’’ntiādīsu (ma. ni. 1.241) sotaviññeyyanti attho.,647,654
