sentence_id,parent_chunk,token_start,token_end,sentence_text,en_text,heading_id,level,path,h1,h2,h3,h4,h5,h6
MAIN001-S271,MAIN001,2617,2620,"‘‘Nīvaraṇā nīvaraṇā’’ti, bhante, vuccanti.","Venerable sir, the hindrances, the hindrances are being spoken of.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S272,MAIN001,2621,2625,"Ime nu kho, bhante, pañcupādānakkhandhā.","Venerable sir, are these the five aggregates subject to clinging?",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S273,MAIN001,2626,2636,‘‘Kiṃ sūdha vittaṃ purisassa seṭṭha’’ntiādinā (su. ni. 183) nayena pañhaṃ pucchanti.,"Or again, they pose a question in such a manner as, ‘What indeed is wealth supreme for a man?’ (Sutta Nipāta 183), and so forth.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S274,MAIN001,2637,2642,Evaṃ puṭṭhena bhagavatā yāni kathitāni bojjhaṅgasaṃyuttādīni.,"Thus, in response to such questions, the discourses spoken by the Blessed One are, for example, those contained in the Bojjhaṅga-saṃyutta and others.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S275,MAIN001,2643,2650,"Yāni vā panaññānipi devatāsaṃyutta-mārasaṃyutta-brahmasaṃyutta-sakkapañha-cūḷavedalla-mahāvedalla-sāmaññaphala- āḷavaka-sūciloma-kharalomasuttādīni, tesaṃ pucchāvasiko nikkhepo.","Or again, other discourses such as the Devatā-saṃyutta, the Māra-saṃyutta, the Brahma-saṃyutta, the Sakkapañha Sutta, the Cūḷavedalla Sutta, the Mahāvedalla Sutta, the Sāmaññaphala Sutta, the Āḷavaka Sutta, the Sūciloma Sutta, the Kharaloma Sutta, and others of this kind — these are classified as belonging to the category occasioned by a question (pucchāvasika-nikkhepa).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S276,MAIN001,2651,2656,Yāni panetāni uppannaṃ kāraṇaṃ paṭicca kathitāni.,"Those discourses, however, which were spoken on account of a particular circumstance that had arisen are so designated.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S277,MAIN001,2657,2666,"Seyyathidaṃ, dhammadāyādaṃ cūḷasīhanādaṃ candūpamaṃ puttamaṃsūpamaṃ dārukkhandhūpamaṃ aggikkhandhūpamaṃ pheṇapiṇḍūpamaṃ pāricchattakūpamanti evamādīni.","Such are, for example, the Dhammadāyāda Sutta, the Cūḷasīhanāda Sutta, the Candūpama Sutta, the Puttamaṃsūpama Sutta, the Dārukkhandhūpama Sutta, the Aggikkhandhūpama Sutta, the Pheṇapiṇḍūpama Sutta, the Pāricchattakūpama Sutta, and others of this kind.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S278,MAIN001,2667,2669,Tesaṃ aṭṭhuppattiko nikkhepo.,The classification of these is that they belong to the category of discourses delivered on account of a specific occasion (aṭṭhuppattika-nikkhepa).,H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S279,MAIN001,2670,2676,Evamimesu catūsu nikkhepesu imassa suttassa aṭṭhuppattiko nikkhepo.,"Thus, among these four classifications, this discourse belongs to the category of discourses delivered on account of a specific occasion (aṭṭhuppattika-nikkhepa).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S280,MAIN001,2677,2680,Aṭṭhuppattiyañhi idaṃ bhagavatā nikkhittaṃ.,For this discourse was delivered by the Blessed One on the basis of a particular occasion.,H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S281,MAIN001,2681,2686,Katarāya aṭṭhuppattiyā? Pariyattiṃ nissāya uppanne māne.,On account of which occasion? On account of the conceit that arose dependent on learning (pariyatti).,H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S282,MAIN001,2687,2741,"Pañcasatā kira brāhmaṇā tiṇṇaṃ vedānaṃ pāragū aparabhāge bhagavato dhammadesanaṃ sutvā kāmesu ādīnavaṃ nekkhamme ca ānisaṃsaṃ sampassamānā bhagavato santike pabbajitvā nacirasseva sabbaṃ buddhavacanaṃ uggaṇhitvā pariyattiṃ nissāya mānaṃ uppādesuṃ ‘‘yaṃ yaṃ bhagavā katheti, taṃ taṃ mayaṃ khippameva jānāma, bhagavā hi tīṇi liṅgāni cattāri padāni satta vibhattiyo muñcitvā na kiñci katheti, evaṃ kathite ca amhākaṃ gaṇṭhipadaṃ nāma natthī’’ti.","It is said that five hundred brahmins, having mastered the three Vedas, later heard the Blessed One’s teaching of the Dhamma. Seeing the danger in sensual pleasures and the benefit in renunciation, they went forth under the Blessed One. Before long, having learned the entire corpus of the Buddha’s word, they, relying upon their learning (pariyatti), gave rise to conceit, thinking: ‘Whatever the Blessed One teaches, that we at once understand. For the Blessed One teaches after omitting the three genders, the four cases, and the seven declensions; and when taught thus, for us there is no such thing as difficulty of expression.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S283,MAIN001,2742,2753,Te bhagavati agāravā hutvā tato paṭṭhāya bhagavato upaṭṭhānampi dhammassavanampi abhiṇhaṃ na gacchanti.,"Having thus become disrespectful toward the Blessed One, from that time on they no longer regularly attended upon the Blessed One nor frequently listened to the Dhamma.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S284,MAIN001,2754,2781,Bhagavā tesaṃ taṃ cittacāraṃ ñatvā ‘‘abhabbā ime imaṃ mānakhilaṃ anupahacca maggaṃ vā phalaṃ vā sacchikātu’’nti tesaṃ sutapariyattiṃ nissāya uppannaṃ mānaṃ aṭṭhuppattiṃ katvā desanākusalo bhagavā mānabhañjanatthaṃ sabbadhammamūlapariyāyanti desanaṃ ārabhi.,"Here, the expression sabbadhammamūlapariyāya means the fundamental exposition (mūlapariyāya) of all phenomena (dhammas).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S285,MAIN001,2782,2786,Tattha sabbadhammamūlapariyāyanti sabbesaṃ dhammānaṃ mūlapariyāyaṃ.,"Here, sabbadhammamūlapariyāya means the root principle or fundamental exposition of all phenomena (dhammas).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S286,MAIN001,2787,2788,Sabbesanti anavasesānaṃ.,"Sabbesaṃ means ‘of all,’ in the sense of without exception.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S287,MAIN001,2789,2792,Anavasesavācako hi ayaṃ sabba-saddo.,"For the word sabba (‘all’) is indeed an expression denoting totality, without remainder.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S288,MAIN001,2793,2801,"So yena yena sambandhaṃ gacchati, tassa tassa anavasesataṃ dīpeti.","Wherever it is applied in connection, it indicates complete inclusiveness in that respect.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S289,MAIN001,2802,2810,"Yathā, ‘‘sabbaṃ rūpaṃ aniccaṃ sabbā vedanā aniccā sabbasakkāyapariyāpannesu dhammesū’’ti.","For example: ‘All form is impermanent, all feeling is impermanent, and all phenomena included within the personality (sakkāya) are impermanent.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S290,MAIN001,2811,2814,Dhamma-saddo panāyaṃ pariyatti-sacca-samādhi-paññā-pakati-sabhāvasuññatā-puññāpatti-ñeyyādīsu dissati.,"The term dhamma, however, is found with reference to various contexts such as the scriptures (pariyatti), truth (sacca), concentration (samādhi), wisdom (paññā), natural state (pakati), intrinsic nature (sabhāva), emptiness (suññatā), meritorious attainment (puññāpatti), objects of knowledge (ñeyya), and so forth.",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S291,MAIN001,2815,2827,‘‘Idha bhikkhu dhammaṃ pariyāpuṇāti suttaṃ geyya’’ntiādīsu (a. ni. 5.73) hi dhammasaddo pariyattiyaṃ vattati.,"For instance, in the passage, ‘Here, a bhikkhu masters the Dhamma: sutta, geyya, and so forth’ (Aṅguttara Nikāya 5.73), the term dhamma is used in the sense of the scriptures (pariyatti).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S292,MAIN001,2828,2833,‘‘Diṭṭhadhammo viditadhammo’’tiādīsu (dī. ni. 1.299) saccesu.,"In the passage, ‘One who has seen the Dhamma, one who has understood the Dhamma’ (Dīgha Nikāya 1.299), the term dhamma is used in the sense of truths (sacca).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S293,MAIN001,2834,2838,‘‘Evaṃ dhammā te bhagavanto’’tiādīsu samādhimhi.,"In the passage, ‘Thus steadfast in Dhamma are those Blessed Ones’ (cf. Dīgha Nikāya, etc.), the term dhamma is used in the sense of concentration (samādhi).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S294,MAIN001,2839,2851,"‘‘Yassete caturo dhammā, vānarinda yathā tava; Saccaṃ dhammo dhiti cāgo, diṭṭhaṃ so ativattatī’’ti.","In the passage, ‘For whom these four qualities exist, O lord of monkeys, as for you: truth (sacca), Dhamma, resolution (dhiti), and generosity (cāga) — such a one surpasses what is seen,’ the term dhamma is used in the sense of wisdom (paññā).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S295,MAIN001,2852,2856,– Ādīsu (jā. 1.1.57) paññāya.,"In such passages (Jātaka 1.1.57), the term dhamma is employed in the sense of wisdom (paññā).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S296,MAIN001,2857,2861,"‘‘Jātidhammā jarādhammā, atho maraṇadhammino’’tiādīsu pakatiyaṃ.","In the passage, ‘Subject to birth, subject to aging, and indeed subject to death’ (cf. Jātaka, etc.), the term dhamma is used in the sense of natural condition (pakati).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S297,MAIN001,2862,2867,‘‘Kusalā dhammā’’tiādīsu (dha. sa. 1.tikamātikā) sabhāve.,"In the passage, ‘Wholesome dhammas’ (Dhammasaṅgaṇī, Tikamātikā 1), the term dhamma is used in the sense of intrinsic nature (sabhāva).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
MAIN001-S298,MAIN001,2868,2877,‘‘Tasmiṃ kho pana samaye dhammā hontī’’tiādīsu (dha. sa. 121) suññatāyaṃ.,"In the passage, ‘At that very time, dhammas exist’ (Dhammasaṅgaṇī 121), the term dhamma is used in the sense of emptiness (suññatā).",H000008,5,Majjhimanikāye > Mūlapaṇṇāsa-aṭṭhakathā > 1. Mūlapariyāyavaggo > 1. Mūlapariyāyasuttavaṇṇanā > Suttanikkhepavaṇṇanā,Majjhimanikāye,Mūlapaṇṇāsa-aṭṭhakathā,1. Mūlapariyāyavaggo,1. Mūlapariyāyasuttavaṇṇanā,Suttanikkhepavaṇṇanā,
