Pali,EN
Desessāmīti desanāpaṭijānanaṃ.,I shall teach’ (desessāmi) is an acknowledgment of the act of giving a discourse.
"Idaṃ vuttaṃ hoti, bhikkhave, sabbadhammānaṃ mūlakāraṇaṃ tumhākaṃ desessāmi, dutiyena nayena kāraṇadesanaṃ tumhākaṃ desessāmīti.","The meaning here is this: ‘Monks, I shall teach you the root cause of all phenomena; in a secondary sense, I shall teach you the exposition of causes."
Taṃ suṇāthāti tamatthaṃ taṃ kāraṇaṃ taṃ desanaṃ mayā vuccamānaṃ suṇātha.,"Listen to that’ means: listen to that meaning, that cause, that exposition as it is being spoken by me."
Sādhukaṃ manasi karothāti ettha pana sādhukaṃ sādhūti ekatthametaṃ.,Attend carefully’ (sādhukaṃ manasi karotha) — here the words sādhukaṃ and sādhu have the same meaning.
Ayañca sādhu saddo āyācanasampaṭicchanasampahaṃsanasundaradaḷhīkammādīsu dissati.,"And the term sādhu is found used in various contexts: as an expression of request (āyācana), of assent (sampaṭicchana), of approval (sampahaṃsana), of beauty (sundara), and of firm establishment (daḷhīkamma), and so forth."
"‘‘Sādhu me bhante bhagavā, saṃkhittena dhammaṃ desetū’’tiādīsu (saṃ. ni. 4.95) hi āyācane dissati.","In the passage, ‘It would be good, venerable sir, if the Blessed One would teach me the Dhamma in brief’ (Saṃyutta Nikāya 4.95), the term sādhu is used in the sense of request (āyācana)."
"‘‘Sādhu, bhanteti kho so bhikkhu bhagavato bhāsitaṃ abhinanditvā anumoditvā’’tiādīsu (ma. ni. 3.86) sampaṭicchane.","In the passage, ‘Good, venerable sir,’ that bhikkhu approved and consented to the Blessed One’s words (Majjhima Nikāya 3.86), the term sādhu is used in the sense of assent (sampaṭicchana)."
"‘‘Sādhu, sādhu sāriputtā’’tiādīsu (dī. ni. 3.349) sampahaṃsane.","In the passage, ‘Well done, well done, Sāriputta’ (Dīgha Nikāya 3.349), the term sādhu is used in the sense of approval (sampahaṃsana)."
"‘‘Sādhu dhammarucī rājā, sādhu paññāṇavā naro; Sādhu mittānamaddubbho, pāpassākaraṇaṃ sukha’’nti.","In the passage, ‘Good is the king who delights in Dhamma, good is the man endowed with wisdom; good is one who does not betray his friends, and happiness is the abstention from evil,’ the term sādhu is used in the sense of ‘good’ or ‘excellent’ (sundara)."
Ādīsu (jā. 2.18.101) sundare.,"In such passages (Jātaka 2.18.101), the term sādhu is used in the sense of ‘good’ or ‘beautiful’ (sundara)."
"‘‘Tena hi, brāhmaṇa, sādhukaṃ suṇāhī’’tiādīsu (a. ni. 5.192) sādhukasaddoyeva daḷhīkamme, āṇattiyantipi vuccati.","In the passage, ‘Well then, brahmin, listen carefully’ (Aṅguttara Nikāya 5.192), the word sādhukaṃ is used in the sense of firm establishment (daḷhīkamma), and it is also called an injunction (āṇatti)."
Idhāpi ayaṃ ettheva daḷhīkamme ca āṇattiyañca attho veditabbo.,"Here too, in this context, the meaning should be understood precisely as firm establishment (daḷhīkamma) and as injunction (āṇatti)."
Sundaratthepi vattati.,It is also used in the sense of ‘good’ or ‘excellent’ (sundara).
Daḷhīkaraṇatthena hi daḷhamimaṃ dhammaṃ suṇātha suggahitaṃ gaṇhantā.,"For in the sense of firm establishment, it means: ‘Listen to this Dhamma attentively, taking it up well and firmly."
Āṇattiatthena mama āṇattiyā suṇātha.,"In the sense of injunction, it means: ‘Listen in accordance with my instruction."
Sundaratthena sundaramimaṃ bhaddakaṃ dhammaṃ suṇāthāti evaṃ dīpitaṃ hoti.,"In the sense of excellence, it means: ‘Listen to this Dhamma which is good and auspicious’; thus it is indicated."
"Manasi karothāti āvajjetha, samannāharathāti attho, avikkhittacittā hutvā nisāmetha citte karothāti adhippāyo.","‘Attend in mind’ (manasi karotha) means: direct your attention, gather it together; the meaning is, ‘Listen with undistracted mind, making it an object of thought"
Idānettha taṃ suṇāthāti sotindriyavikkhepavāraṇametaṃ.,"Here, the phrase ‘listen to that’ (taṃ suṇātha) serves as a safeguard against the distraction of the faculty of hearing."
Sādhukaṃ manasi karothāti manasikāre daḷhīkammaniyojanena manindriyavikkhepavāraṇaṃ.,"Attend carefully’ (sādhukaṃ manasi karotha) is a restraint against the distraction of the mind faculty, through the firm application of attention."
"Purimañcettha byañjanavipallāsaggāhavāraṇaṃ, pacchimaṃ atthavipallāsaggāhavāraṇaṃ.","Here, the former phrase serves as a safeguard against grasping a distortion of expression (byañjana-vipallāsa), while the latter serves as a safeguard against grasping a distortion of meaning (attha-vipallāsa)."
"Purimena ca dhammassavane niyojeti, pacchimena sutānaṃ dhammānaṃ dhāraṇūpaparikkhādīsu.","By the former, he enjoins the act of listening to the Dhamma; by the latter, he directs towards the retention, examination, and related applications of the Dhammas that have been heard."
"Purimena ca sabyañjano ayaṃ dhammo, tasmā savanīyoti dīpeti.","By the former, he indicates: ‘This Dhamma is complete in expression, therefore it is to be listened to."
"Pacchimena sāttho, tasmā manasi kātabboti.","By the latter, he indicates: ‘This Dhamma is rich in meaning, therefore it should be attended to in mind."
"Sādhukapadaṃ vā ubhayapadehi yojetvā yasmā ayaṃ dhammo dhammagambhīro desanāgambhīro ca, tasmā suṇātha sādhukaṃ, yasmā atthagambhīro paṭivedhagambhīro ca, tasmā sādhukaṃ manasi karothāti evaṃ yojanā veditabbā.","Or again, by connecting the word sādhuka with both expressions, the meaning is to be understood thus: because this Dhamma is profound in its doctrinal content and profound in its mode of exposition, therefore ‘listen well’; and because it is profound in meaning and profound in realization, therefore ‘attend carefully in mind."
Bhāsissāmīti desessāmi.,I shall speak’ (bhāsissāmi) means ‘I shall teach’ (desessāmi).
"‘‘Taṃ suṇāthā’’ti ettha paṭiññātaṃ desanaṃ na saṃkhittatova desessāmi, apica kho vitthāratopi naṃ bhāsissāmīti vuttaṃ hoti, saṅkhepavitthāravācakāni hi etāni padāni.","In the phrase ‘Listen to that,’ the meaning is: the teaching that has been promised, I will not teach merely in concise form, but rather I will also expound it in extended detail; for indeed these words denote both brevity and elaboration."
"Yathāha vaṅgīsatthero – ‘‘Saṃkhittenapi deseti, vitthārenapi bhāsati; Sāḷikāyiva nigghoso, paṭibhānaṃ udīrayī’’ti. (saṃ. ni. 1.214); Evaṃ vutte ussāhajātā hutvā evaṃ bhanteti kho te bhikkhū bhagavato paccassosuṃ satthu vacanaṃ sampaṭicchiṃsu, paṭiggahesunti vuttaṃ hoti.","As the Elder Vaṅgīsa said: ‘He teaches both in brief and speaks in detail; like the cry of the heron, he uttered his inspired utterance’ (Saṃyutta Nikāya 1.214). When this was said, the monks, being aroused with enthusiasm, responded, ‘Yes, venerable sir,’ and thus they assented to, accepted, and received the Blessed One’s words."
Atha nesaṃ bhagavā etadavoca etaṃ idāni vattabbaṃ idha bhikkhavotiādikaṃ sakalaṃ suttaṃ avoca.,"Then the Blessed One addressed them, saying: ‘Monks, this is now to be spoken,’ and so on; and he proceeded to deliver the entire discourse."
Tattha idhāti desāpadese nipāto.,"Here, the term idha is an indeclinable particle employed in the sense of indicating place or locality (desāpadesa)."
Svāyaṃ katthaci lokaṃ upādāya vuccati.,"This, on some occasions, is spoken with reference to the world (loka)."
Yathāha – ‘‘idha tathāgato loke uppajjatī’’ti (dī. ni. 1.190).,"As it is said: ‘Here, a Tathāgata arises in the world’ (Dīgha Nikāya 1.190)."
Katthaci sāsanaṃ.,"In some contexts, it refers to the Dispensation (sāsana)."
"Yathāha – ‘‘idheva, bhikkhave, samaṇo, idha dutiyo samaṇo’’ti (a. ni. 4.241).","As it is said: ‘Here indeed, monks, is the ascetic; here is a second ascetic’ (Aṅguttara Nikāya 4.241)."
Katthaci okāsaṃ.,"In some contexts, it denotes an occasion or opportunity (okāsa)."
"Yathāha – ‘‘Idheva tiṭṭhamānassa, devabhūtassa me sato; Punarāyu ca me laddho, evaṃ jānāhi mārisā’’ti. (dī. ni. 2.369); Katthaci padapūraṇamattameva.","As it is said: ‘While I was standing right here, having become a deity; my life-span was regained—know this, dear friends’ (Dīgha Nikāya 2.369). In some contexts, however, it is merely a filler for completing the expression (padapūraṇamatta)."
"Yathāha ‘‘idhāhaṃ – bhikkhave, bhuttāvī assaṃ pavārito’’ti (ma. ni. 1.30).","As it is said: ‘Here, monks, I was one who had eaten and had been invited’ (Majjhima Nikāya 1.30)."
Idha pana lokaṃ upādāya vuttoti veditabbo.,"Here, however, it should be understood as spoken with reference to the world (loka)."
2. Bhikkhaveti yathāpaṭiññātaṃ desanaṃ desetuṃ puna bhikkhū ālapati.,"2. With the word bhikkhave (‘monks’), he again addresses the monks in order to deliver the discourse as previously promised."
"Ubhayenāpi, bhikkhave, imasmiṃ loketi vuttaṃ hoti.","By both expressions, monks, what is said is: ‘In this world."
