sentence_id,parent_chunk,token_start,token_end,sentence_text
MAIN001-S097,MAIN001,870,882,"Tattha paññā pubbaṅgamāya satiyā byañjanāvadhāraṇasamatthatā, satipubbaṅgamāya paññāya atthapaṭivedhasamatthatā, tadubhayasamatthatāyogena atthabyañjanasampannassa dhammakosassa anupālanasamatthato dhammabhaṇḍāgārikattasiddhi."
MAIN001-S098,MAIN001,883,894,"Aparo nayo – evanti vacanena yoniso manasikāraṃ dīpeti, ayoniso manasikaroto hi nānappakārapaṭivedhābhāvato."
MAIN001-S099,MAIN001,895,900,"Sutanti vacanena avikkhepaṃ dīpeti, vikkhittacittassa savanābhāvato."
MAIN001-S100,MAIN001,901,912,"Tathā hi vikkhittacitto puggalo sabbasampattiyā vuccamānopi ‘‘na mayā sutaṃ, puna bhaṇathā’’ti bhaṇati."
MAIN001-S101,MAIN001,913,926,"Yoniso manasikārena cettha attasammāpaṇidhiṃ pubbe ca katapuññataṃ sādheti, sammā apaṇihitattassa pubbe akatapuññassa vā tadabhāvato."
MAIN001-S102,MAIN001,927,931,Avikkhepena pana saddhammassavanaṃ sappurisūpanissayañca sādheti.
MAIN001-S103,MAIN001,932,942,"Na hi vikkhittacitto sotuṃ sakkoti, na ca sappurise anupassayamānassa savanaṃ atthīti."
MAIN001-S104,MAIN001,943,955,"Aparo nayo – yasmā evanti yassa cittasantānassa nānākārappavattiyā nānatthabyañjanaggahaṇaṃ hoti, tassa nānākāraniddesoti vuttaṃ."
MAIN001-S105,MAIN001,956,978,"So ca evaṃ bhaddako ākāro na sammā appaṇihitattano pubbe akatapuññassa vā hoti, tasmā evanti iminā bhaddakena ākārena pacchimacakkadvayasampattiṃ attano dīpeti, sutanti savanayogena purimacakkadvayasampattiṃ."
MAIN001-S106,MAIN001,979,986,Na hi appatirūpadese vasato sappurisūpanissayavirahitassa vā savanaṃ atthi.
MAIN001-S107,MAIN001,987,991,Iccassa pacchimacakkadvayasiddhiyā āsayasuddhi siddhā hoti.
MAIN001-S108,MAIN001,992,993,Purimacakkadvayasiddhiyā payogasuddhi.
MAIN001-S109,MAIN001,994,999,"Tāya ca āsayasuddhiyā adhigamabyattisiddhi, payogasuddhiyā āgamabyattisiddhi."
MAIN001-S110,MAIN001,1000,1022,Iti payogāsayasuddhassa āgamādhigamasampannassa vacanaṃ aruṇuggaṃ viya sūriyassa udayato yonisomanasikāro viya ca kusalakammassa arahati bhagavato vacanassa pubbaṅgamaṃ bhavitunti ṭhāne nidānaṃ ṭhapento evaṃ me sutantiādimāha.
MAIN001-S111,MAIN001,1023,1032,Aparo nayo – evanti iminā nānappakārapaṭivedhadīpakena vacanena attano atthapaṭibhānapaṭisambhidāsampattisabbhāvaṃ dīpeti.
MAIN001-S112,MAIN001,1033,1036,Sutanti iminā sotabbabhedapaṭivedhadīpakena dhammaniruttipaṭisambhidāsampattisabbhāvaṃ.
MAIN001-S113,MAIN001,1037,1050,Evanti ca idaṃ yonisomanasikāradīpakaṃ vacanaṃ bhāsamāno – ‘‘ete mayā dhammā manasānupekkhitā diṭṭhiyā suppaṭividdhā’’ti dīpeti.
MAIN001-S114,MAIN001,1051,1064,Sutanti idaṃ savanayogadīpakaṃ vacanaṃ bhāsamāno – ‘‘bahū mayā dhammā sutā dhātā vacasā paricitā’’ti dīpeti.
MAIN001-S115,MAIN001,1065,1070,Tadubhayenapi atthabyañjanapāripūriṃ dīpento savane ādaraṃ janeti.
MAIN001-S116,MAIN001,1071,1083,Atthabyañjanaparipuṇṇañhi dhammaṃ ādarena assuṇanto mahatā hitā paribāhiro hotīti ādaraṃ janetvā sakkaccaṃ dhammo sotabboti.
MAIN001-S117,MAIN001,1084,1102,"‘‘Evaṃ me suta’’nti iminā pana sakalena vacanena āyasmā ānando tathāgatappaveditaṃ dhammaṃ attano adahanto asappurisabhūmiṃ atikkamati, sāvakattaṃ paṭijānanto sappurisabhūmiṃ okkamati."
MAIN001-S118,MAIN001,1103,1109,"Tathā asaddhammā cittaṃ vuṭṭhāpeti, saddhamme cittaṃ patiṭṭhāpeti."
MAIN001-S119,MAIN001,1110,1125,"‘‘Kevalaṃ sutamevetaṃ mayā tasseva pana bhagavato vacana’’nti dīpento attānaṃ parimoceti, satthāraṃ apadisati, jinavacanaṃ appeti, dhammanettiṃ patiṭṭhāpeti."
MAIN001-S120,MAIN001,1126,1174,"Apica ‘‘evaṃ me suta’’nti attanā uppāditabhāvaṃ appaṭijānanto purimavacanaṃ vivaranto ‘‘sammukhā paṭiggahitamidaṃ mayā tassa bhagavato catuvesārajjavisāradassa dasabaladharassa āsabhaṭṭhānaṭṭhāyino sīhanādanādino sabbasattuttamassa dhammissarassa dhammarājassa dhammādhipatino dhammadīpassa dhammasaraṇassa saddhammavaracakkavattino sammāsambuddhassa vacanaṃ, na ettha atthe vā dhamme vā pade vā byañjane vā kaṅkhā vā vimati vā kattabbā’’ti sabbadevamanussānaṃ imasmiṃ dhamme assaddhiyaṃ vināseti, saddhāsampadaṃ uppādetīti."
MAIN001-S121,MAIN001,1175,1187,"Tenetaṃ vuccati – ‘‘Vināsayati assaddhaṃ, saddhaṃ vaḍḍheti sāsane; Evaṃ me sutamiccevaṃ, vadaṃ gotamasāvako’’ti."
MAIN001-S122,MAIN001,1188,1189,Ekanti gaṇanaparicchedaniddeso.
MAIN001-S123,MAIN001,1190,1191,Samayanti paricchinnaniddeso.
MAIN001-S124,MAIN001,1192,1194,Ekaṃ samayanti aniyamitaparidīpanaṃ.
MAIN001-S125,MAIN001,1195,1208,"Tattha samayasaddo – Samavāye khaṇe kāle, samūhe hetudiṭṭhisu; Paṭilābhe pahāne ca, paṭivedhe ca dissati."
MAIN001-S126,MAIN001,1209,1223,Tathā hissa ‘‘appeva nāma svepi upasaṅkameyyāma kālañca samayañca upādāyā’’ti evamādīsu (dī. ni. 1.447) samavāyo attho.
MAIN001-S127,MAIN001,1224,1235,"‘‘Ekova kho, bhikkhave, khaṇo ca samayo ca brahmacariyavāsāyā’’tiādīsu (a. ni. 8.29) khaṇo."
MAIN001-S128,MAIN001,1236,1240,‘‘Uṇhasamayo pariḷāhasamayo’’tiādīsu (pāci. 358) kālo.
MAIN001-S129,MAIN001,1241,1243,‘‘Mahāsamayo pavanasmi’’ntiādīsu samūho.
MAIN001-S130,MAIN001,1244,1274,"‘‘Samayopi kho te, bhaddāli, appaṭividdho ahosi, bhagavā kho sāvatthiyaṃ viharati, bhagavāpi maṃ jānissati, ‘bhaddāli, nāma bhikkhu satthusāsane sikkhāya na paripūrakārī’ti, ayampi kho te, bhaddāli, samayo appaṭividdho ahosī’’tiādīsu (ma. ni. 2.135) hetu."
MAIN001-S131,MAIN001,1275,1291,‘‘Tena kho pana samayena uggāhamāno paribbājako samaṇamuṇḍikāputto samayappavādake tindukācīre ekasālake mallikāya ārāme paṭivasatī’’tiādīsu (ma. ni. 2.260) diṭṭhi.
MAIN001-S132,MAIN001,1292,1303,"‘‘Diṭṭhe dhamme ca yo attho, yo cattho samparāyiko; Atthābhisamayā dhīro, paṇḍitoti pavuccatī’’ti."
MAIN001-S133,MAIN001,1304,1309,– Ādīsu (saṃ. ni. 1.129) paṭilābho.
MAIN001-S134,MAIN001,1310,1317,‘‘Sammā mānābhisamayā antamakāsi dukkhassā’’tiādīsu (ma. ni. 1.24) pahānaṃ.
MAIN001-S135,MAIN001,1318,1327,‘‘Dukkhassa pīḷanaṭṭho saṅkhataṭṭho santāpaṭṭho vipariṇāmaṭṭho abhisamayaṭṭho’’tiādīsu (paṭi. ma. 3.1) paṭivedho.
MAIN001-S136,MAIN001,1328,1331,Idha panassa kālo attho.
MAIN001-S137,MAIN001,1332,1339,Tena saṃvacchara-utu-māsaḍḍhamāsa-ratti-diva-pubbaṇha-majjhanhika-sāyanha- paṭhamamajjhimapacchimayāma-muhuttādīsu kālappabhedabhūtesu samayesu ekaṃ samayanti dīpeti.
MAIN001-S138,MAIN001,1340,1363,"Tattha kiñcāpi etesu saṃvaccharādīsu samayesu yaṃ yaṃ suttaṃ yamhi yamhi saṃvacchare utumhi māse pakkhe rattibhāge divasabhāge vā vuttaṃ, sabbaṃ taṃ therassa suviditaṃ suvavatthāpitaṃ paññāya."
MAIN001-S139,MAIN001,1364,1398,"Yasmā pana ‘‘evaṃ me sutaṃ asukasaṃvacchare asukautumhi asukamāse asukapakkhe asukarattibhāge asukadivasabhāge vā’’ti evaṃ vutte na sakkā sukhena dhāretuṃ vā uddisituṃ vā uddisāpetuṃ vā, bahu ca vattabbaṃ hoti, tasmā ekeneva padena tamatthaṃ samodhānetvā ‘‘ekaṃ samaya’’nti āha."
MAIN001-S140,MAIN001,1399,1425,"Ye vā ime gabbhokkantisamayo jātisamayo saṃvegasamayo abhinikkhamanasamayo dukkarakārikasamayo māravijayasamayo abhisambodhisamayo diṭṭhadhammasukhavihārasamayo desanāsamayo parinibbānasamayoti evamādayo bhagavato devamanussesu ativiya suppakāsā anekakālappabhedā eva samayā, tesu samayesu desanāsamayasaṅkhātaṃ ekaṃ samayanti dīpeti."
MAIN001-S141,MAIN001,1426,1443,"Yo cāyaṃ ñāṇakaruṇākiccasamayesu aruṇākiccasamayo, attahitaparahitapaṭipattisamayesu parahitapaṭipattisamayo, sannipatitānaṃ karaṇīyadvayasamayesu dhammikathāsamayo, desanāpaṭipattisamayesu desanāsamayo, tesupi samayesu aññataraṃ sandhāya ‘‘ekaṃ samaya’’nti āha."
MAIN001-S142,MAIN001,1444,1477,"Kasmā panettha yathā abhidhamme ‘‘yasmiṃ samaye kāmāvacara’’nti ca ito aññesu suttapadesu ‘‘yasmiṃ samaye, bhikkhave, bhikkhu vivicceva kāmehī’’ti ca bhummavacanena niddeso kato, vinaye ca ‘‘tena samayena buddho bhagavā’’ti karaṇavacanena, tathā akatvā ‘‘ekaṃ samaya’’nti upayogavacananiddeso katoti."
MAIN001-S143,MAIN001,1478,1483,Tattha tathā idha ca aññathā atthasambhavato.
MAIN001-S144,MAIN001,1484,1494,Tattha hi abhidhamme ito aññesu suttapadesu ca adhikaraṇattho bhāvenabhāvalakkhaṇattho ca sambhavati.
MAIN001-S145,MAIN001,1495,1515,"Adhikaraṇañhi kālattho ca samūhattho ca samayo, tattha vuttānaṃ phassādidhammānaṃ khaṇasamavāyahetusaṅkhātassa ca samayassa bhāvena tesaṃ bhāvo lakkhīyati, tasmā tadatthajotanatthaṃ tattha bhummavacananiddeso kato."
MAIN001-S146,MAIN001,1516,1521,Vinaye ca hetuattho karaṇattho ca sambhavati.
MAIN001-S147,MAIN001,1522,1546,"Yo hi so sikkhāpadapaññattisamayo sāriputtādīhipi dubbiññeyyo, tena samayena hetubhūtena karaṇabhūtena ca sikkhāpadāni paññāpayanto sikkhāpadapaññattihetuñca apekkhamāno bhagavā tattha tattha vihāsi, tasmā tadatthajotanatthaṃ tattha karaṇavacanena niddeso kato."
MAIN001-S148,MAIN001,1547,1552,Idha pana aññasmiñca evaṃjātike accantasaṃyogattho sambhavati.
MAIN001-S149,MAIN001,1553,1570,"Yañhi samayaṃ bhagavā imaṃ aññaṃ vā suttantaṃ desesi, accantameva taṃ samayaṃ karuṇāvihārena vihāsi, tasmā tadatthajotanatthaṃ idha upayogavacananiddeso katoti."
MAIN001-S150,MAIN001,1571,1585,"Tenetaṃ vuccati – ‘‘Taṃ taṃ atthamapekkhitvā, bhummena karaṇena ca; Aññatra samayo vutto, upayogena so idhā’’ti."
MAIN001-S151,MAIN001,1586,1605,"Porāṇā pana vaṇṇayanti – ‘‘tasmiṃ samaye’’ti vā – ‘‘tena samayenā’’ti vā – ‘‘ekaṃ samaya’’nti vā abhilāpamattabhedo esa, sabbattha bhummameva atthoti."
MAIN001-S152,MAIN001,1606,1613,Tasmā ‘‘ekaṃ samaya’’nti vuttepi ‘‘ekasmiṃ samaye’’ti attho veditabbo.
MAIN001-S153,MAIN001,1614,1615,Bhagavāti garu.
MAIN001-S154,MAIN001,1616,1619,Garuñhi loke ‘‘bhagavā’’ti vadanti.
MAIN001-S155,MAIN001,1620,1626,"Ayañca sabbaguṇavisiṭṭhatāya sabbasattānaṃ garu, tasmā ‘‘bhagavā’’ti veditabbo."
