window_id,parent_chunk,token_start,token_end,window_text
MAIN001-W2-0006,MAIN001,52,69,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi. Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya."
MAIN001-W3-0006,MAIN001,52,77,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi. Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya. Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ."
MAIN001-W2-0007,MAIN001,62,77,"Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya. Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ."
MAIN001-W3-0007,MAIN001,62,84,"Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya. Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ. Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ."
MAIN001-W2-0008,MAIN001,70,84,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ. Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ."
MAIN001-W3-0008,MAIN001,70,93,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ. Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ. Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa."
MAIN001-W2-0009,MAIN001,78,93,"Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ. Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa."
MAIN001-W3-0009,MAIN001,78,100,"Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ. Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa. Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro."
MAIN001-W2-0010,MAIN001,85,100,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa. Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro."
MAIN001-W3-0010,MAIN001,85,109,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa. Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro. Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri."
MAIN001-W2-0011,MAIN001,94,109,"Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro. Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri."
MAIN001-W3-0011,MAIN001,94,115,"Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro. Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri. Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva."
MAIN001-W2-0012,MAIN001,101,115,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri. Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva."
MAIN001-W3-0012,MAIN001,101,129,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri. Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva. Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi."
MAIN001-W2-0013,MAIN001,110,129,"Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva. Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi."
MAIN001-W3-0013,MAIN001,110,138,"Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva. Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi. ‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’."
MAIN001-W2-0014,MAIN001,116,138,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi. ‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’."
MAIN001-W3-0014,MAIN001,116,148,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi. ‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’. Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti."
MAIN001-W2-0015,MAIN001,130,148,"‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’. Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti."
MAIN001-W3-0015,MAIN001,130,149,"‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’. Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti. Nidānakathā"
MAIN001-W2-0016,MAIN001,139,149,"Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti. Nidānakathā"
MAIN001-W3-0016,MAIN001,139,158,"Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti. Nidānakathā 1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā."
MAIN001-W2-0017,MAIN001,149,158,Nidānakathā 1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā.
MAIN001-W3-0017,MAIN001,149,166,Nidānakathā 1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā. Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā.
MAIN001-W2-0018,MAIN001,150,166,1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā. Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā.
MAIN001-W3-0018,MAIN001,150,171,1. Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā. Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā. Suttato diyaḍḍhasuttasataṃ dve ca suttantā.
MAIN001-W2-0019,MAIN001,159,171,Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā. Suttato diyaḍḍhasuttasataṃ dve ca suttantā.
MAIN001-W3-0019,MAIN001,159,174,Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā. Suttato diyaḍḍhasuttasataṃ dve ca suttantā. Padato tevīsuttarapañcasatādhikāni asītipadasahassāni.
MAIN001-W2-0020,MAIN001,167,174,Suttato diyaḍḍhasuttasataṃ dve ca suttantā. Padato tevīsuttarapañcasatādhikāni asītipadasahassāni.
MAIN001-W3-0020,MAIN001,167,186,"Suttato diyaḍḍhasuttasataṃ dve ca suttantā. Padato tevīsuttarapañcasatādhikāni asītipadasahassāni. Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti."
MAIN001-W2-0021,MAIN001,172,186,"Padato tevīsuttarapañcasatādhikāni asītipadasahassāni. Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti."
MAIN001-W3-0021,MAIN001,172,193,"Padato tevīsuttarapañcasatādhikāni asītipadasahassāni. Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti. Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni."
MAIN001-W2-0022,MAIN001,175,193,"Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti. Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni."
MAIN001-W3-0022,MAIN001,175,199,"Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti. Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni. Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro."
MAIN001-W2-0023,MAIN001,187,199,Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni. Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro.
MAIN001-W3-0023,MAIN001,187,204,Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni. Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro. Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi.
MAIN001-W2-0024,MAIN001,194,204,Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro. Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi.
MAIN001-W3-0024,MAIN001,194,212,Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro. Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi. Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti.
MAIN001-W2-0025,MAIN001,200,212,Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi. Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti.
MAIN001-W3-0025,MAIN001,200,224,"Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi. Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti. Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti."
MAIN001-W2-0026,MAIN001,205,224,"Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti. Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti."
MAIN001-W3-0026,MAIN001,205,232,"Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti. Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti. Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ."
MAIN001-W2-0027,MAIN001,213,232,"Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti. Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ."
MAIN001-W3-0027,MAIN001,213,241,"Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti. Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ. Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi."
MAIN001-W2-0028,MAIN001,225,241,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ. Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi."
MAIN001-W3-0028,MAIN001,225,248,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ. Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi. Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā."
MAIN001-W2-0029,MAIN001,233,248,Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi. Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā.
MAIN001-W3-0029,MAIN001,233,253,Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi. Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā. Tasmā sā tattha vitthāritanayeneva veditabbā.
MAIN001-W2-0030,MAIN001,242,253,Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā. Tasmā sā tattha vitthāritanayeneva veditabbā.
MAIN001-W3-0030,MAIN001,242,255,Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā. Tasmā sā tattha vitthāritanayeneva veditabbā. 1. Mūlapariyāyavaggo
MAIN001-W2-0031,MAIN001,249,255,Tasmā sā tattha vitthāritanayeneva veditabbā. 1. Mūlapariyāyavaggo
MAIN001-W3-0031,MAIN001,249,257,Tasmā sā tattha vitthāritanayeneva veditabbā. 1. Mūlapariyāyavaggo 1. Mūlapariyāyasuttavaṇṇanā
MAIN001-W2-0032,MAIN001,254,257,1. Mūlapariyāyavaggo 1. Mūlapariyāyasuttavaṇṇanā
MAIN001-W3-0032,MAIN001,254,264,1. Mūlapariyāyavaggo 1. Mūlapariyāyasuttavaṇṇanā 1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ.
MAIN001-W2-0033,MAIN001,256,264,1. Mūlapariyāyasuttavaṇṇanā 1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ.
MAIN001-W3-0033,MAIN001,256,267,1. Mūlapariyāyasuttavaṇṇanā 1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ. Tattha evanti nipātapadaṃ.
MAIN001-W2-0034,MAIN001,258,267,1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ. Tattha evanti nipātapadaṃ.
MAIN001-W3-0034,MAIN001,258,269,1. Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ. Tattha evanti nipātapadaṃ. Metiādīni nāmapadāni.
MAIN001-W2-0035,MAIN001,265,269,Tattha evanti nipātapadaṃ. Metiādīni nāmapadāni.
MAIN001-W3-0035,MAIN001,265,281,"Tattha evanti nipātapadaṃ. Metiādīni nāmapadāni. Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo."
MAIN001-W2-0036,MAIN001,268,281,"Metiādīni nāmapadāni. Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo."
MAIN001-W3-0036,MAIN001,268,286,"Metiādīni nāmapadāni. Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo. Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo."
MAIN001-W2-0037,MAIN001,270,286,"Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo. Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo."
MAIN001-W3-0037,MAIN001,270,300,"Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo. Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo. Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato."
MAIN001-W2-0038,MAIN001,282,300,Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo. Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato.
MAIN001-W3-0038,MAIN001,282,310,"Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo. Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato. ‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese."
MAIN001-W2-0039,MAIN001,287,310,"Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato. ‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese."
MAIN001-W3-0039,MAIN001,287,318,"Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato. ‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese. ‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane."
MAIN001-W2-0040,MAIN001,301,318,"‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese. ‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane."
MAIN001-W3-0040,MAIN001,301,334,"‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese. ‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane. ‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe."
MAIN001-W2-0041,MAIN001,311,334,"‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane. ‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe."
MAIN001-W3-0041,MAIN001,311,345,"‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane. ‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe. ‘‘Evaṃ bhanteti kho te bhikkhū bhagavato paccassosu’’ntiādīsu (ma. ni. 1.1) vacanasampaṭiggahe."
MAIN001-W2-0042,MAIN001,319,345,‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe. ‘‘Evaṃ bhanteti kho te bhikkhū bhagavato paccassosu’’ntiādīsu (ma. ni. 1.1) vacanasampaṭiggahe.
